bar_fence,CDT_Time,Rel_1_5,Rel_0_4,Rel_1_5_v_0_4,bar_fence_1,Upper_3_0,Upper_0,Upper_3_0_v_0,bar_fence_2,CDT_Time_1,Lower_1_5,Lower_0,Lower_1_5_v_0
|,23:27:35,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:35,NaN,NaN,NaN
|,23:27:36,0.011,0.002,5.5,|,NaN,NaN,NaN,|,23:27:36,NaN,NaN,NaN
|,23:27:37,0.02,0.004,5,|,NaN,NaN,NaN,|,23:27:37,NaN,NaN,NaN
|,23:27:38,0.023,0.005,4.6,|,NaN,NaN,NaN,|,23:27:38,NaN,NaN,NaN
|,23:27:39,0.012,0.001,12,|,NaN,NaN,NaN,|,23:27:39,NaN,NaN,NaN
|,23:27:40,0.014,0.001,14,|,NaN,NaN,NaN,|,23:27:40,NaN,NaN,NaN
|,23:27:41,0.015,0.003,5,|,NaN,NaN,NaN,|,23:27:41,NaN,NaN,NaN
|,23:27:42,0.015,0.001,15,|,NaN,NaN,NaN,|,23:27:42,NaN,NaN,NaN
|,23:27:43,0.013,0.001,13,|,NaN,NaN,NaN,|,23:27:43,NaN,NaN,NaN
|,23:27:44,0.013,0,Inf,|,NaN,NaN,NaN,|,23:27:44,NaN,NaN,NaN
|,23:27:45,0.012,0.002,6,|,NaN,NaN,NaN,|,23:27:45,NaN,NaN,NaN
|,23:27:46,0.012,0.005,2.4,|,NaN,NaN,NaN,|,23:27:46,NaN,NaN,NaN
|,23:27:47,0.012,0.001,12,|,NaN,NaN,NaN,|,23:27:47,NaN,NaN,NaN
|,23:27:48,0.014,0.003,4.66666666666667,|,NaN,NaN,NaN,|,23:27:48,NaN,NaN,NaN
|,23:27:49,0.016,0.004,4,|,NaN,NaN,NaN,|,23:27:49,NaN,NaN,NaN
|,23:27:50,0.013,0.001,13,|,NaN,NaN,NaN,|,23:27:50,NaN,NaN,NaN
|,23:27:51,0.012,0.005,2.4,|,NaN,NaN,NaN,|,23:27:51,NaN,NaN,NaN
|,23:27:52,0.013,0.007,1.85714285714286,|,NaN,NaN,NaN,|,23:27:52,NaN,NaN,NaN
|,23:27:53,0.018,0.003,6,|,NaN,NaN,NaN,|,23:27:53,NaN,NaN,NaN
|,23:27:54,0.016,0.005,3.2,|,NaN,NaN,NaN,|,23:27:54,NaN,NaN,NaN
|,23:27:55,0.013,0.005,2.6,|,NaN,NaN,NaN,|,23:27:55,NaN,NaN,NaN
|,23:27:56,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:27:56,NaN,NaN,NaN
